"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Galician.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 2, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Georgian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\German.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Greek.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Hebrew.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Hindi.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Hungarian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Icelandic.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Indonesian.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Italian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Japanese.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Kazakh.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Korean.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Kyrgyz.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Latvian.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Lithuanian.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Macedonian.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Malay.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Mongolian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Nepali.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Norwegian.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Polish.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Portuguese.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Romanian.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Russian.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Serbian.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Slovak.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Slovenian.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\dataTables\i18n\Spanish.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 2, 26
